Date,Open,High,Low,Close,Adj Close,Volume
2022-11-22,154.800003,156.029999,154.690002,155.949997,155.053635,1655500
2022-11-23,155.929993,157.029999,155.929993,156.759995,155.858978,1150100
2022-11-25,156.880005,157.389999,156.779999,157.169998,156.266632,956500
2022-11-28,156.089996,156.830002,154.729996,155.100006,154.208527,2301400
2022-11-29,154.830002,155.289993,153.990005,154.759995,153.870468,1274800
2022-11-30,154.669998,158.750000,153.899994,158.649994,157.738113,1479600
2022-12-01,159.199997,159.500000,157.649994,158.710007,157.797791,2347500
2022-12-02,156.779999,159.070007,156.570007,158.710007,157.797791,1447800
2022-12-05,157.470001,157.470001,155.619995,156.130005,155.232605,2360100
2022-12-06,156.089996,156.350006,153.740005,154.669998,153.780991,1848800
2022-12-07,154.460007,155.639999,154.259995,154.710007,153.820770,1729700
2022-12-08,155.279999,156.190002,154.910004,155.979996,155.083466,1619100
2022-12-09,155.559998,156.220001,154.820007,154.880005,153.989792,1784000
2022-12-12,155.039993,157.270004,155.039993,157.259995,156.356110,1939200
2022-12-13,160.830002,160.990005,156.899994,157.960007,157.052094,2210100
2022-12-14,157.850006,159.289993,156.089996,157.179993,156.276566,1913900
2022-12-15,155.330002,155.660004,152.889999,153.610001,152.727097,1856300
2022-12-16,152.389999,152.690002,150.979996,152.050003,151.176056,1749900
2022-12-19,152.059998,152.509995,150.429993,151.190002,150.320999,2730300
2022-12-20,150.169998,151.130005,149.729996,150.479996,150.479996,2760000
2022-12-21,151.649994,152.919998,151.490005,152.589996,152.589996,1683500
2022-12-22,151.570007,151.690002,149.149994,151.229996,151.229996,2565600
2022-12-23,151.190002,152.100006,150.429993,152.029999,152.029999,2074800
2022-12-27,152.190002,152.750000,151.399994,152.250000,152.250000,2068100
2022-12-28,152.429993,153.009995,150.610001,150.679993,150.679993,1568400
